date,holiday
20170101,2
20170102,1
20170103,0
20170104,0
20170105,0
20170106,0
20170107,1
20170108,1
20170109,0
20170110,0
20170111,0
20170112,0
20170113,0
20170114,1
20170115,1
20170116,0
20170117,0
20170118,0
20170119,0
20170120,0
20170121,1
20170122,0
20170123,0
20170124,0
20170125,0
20170126,0
20170127,0
20170128,1
20170129,1
20170130,1
20170131,1
20170201,1
20170202,1
20170203,0
20170204,0
20170205,1
20170206,0
20170207,0
20170208,0
20170209,0
20170210,0
20170211,1
20170212,1
20170213,0
20170214,2
20170215,0
20170216,0
20170217,0
20170218,1
20170219,1
20170220,0
20170221,0
20170222,0
20170223,0
20170224,0
20170225,1
20170226,1
20170227,0
20170228,0
20170301,2
20170302,0
20170303,0
20170304,1
20170305,1
20170306,0
20170307,0
20170308,0
20170309,0
20170310,0
20170311,1
20170312,1
20170313,0
20170314,0
20170315,0
20170316,0
20170317,2
20170318,1
20170319,1
20170320,0
20170321,0
20170322,0
20170323,0
20170324,0
20170325,1
20170326,1
20170327,0
20170328,0
20170329,0
20170330,0
20170331,0
20170401,0
20170402,1
20170403,1
20170404,0
20170405,0
20170406,0
20170407,0
20170408,1
20170409,1
20170410,0
20170411,0
20170412,0
20170413,2
20170414,2
20170415,1
20170416,2
20170417,0
20170418,0
20170419,0
20170420,0
20170421,0
20170422,1
20170423,2
20170424,0
20170425,0
20170426,0
20170427,0
20170428,0
20170429,1
20170430,1
20170501,2
20170502,0
20170503,0
20170504,0
20170505,0
20170506,1
20170507,1
20170508,0
20170509,0
20170510,0
20170511,0
20170512,0
20170513,1
20170514,1
20170515,0
20170516,0
20170517,0
20170518,0
20170519,0
20170520,1
20170521,1
20170522,0
20170523,0
20170524,0
20170525,0
20170526,0
20170527,0
20170528,1
20170529,2
20170530,0
20170531,0
20170601,0
20170602,0
20170603,1
20170604,1
20170605,0
20170606,0
20170607,0
20170608,0
20170609,0
20170610,1
20170611,1
20170612,0
20170613,0
20170614,0
20170615,0
20170616,0
20170617,1
20170618,1
20170619,0
20170620,0
20170621,0
20170622,0
20170623,0
20170624,1
20170625,1
20170626,0
20170627,0
20170628,0
20170629,0
20170630,0
20170701,1
20170702,1
20170703,0
20170704,0
20170705,0
20170706,0
20170707,0
20170708,1
20170709,1
20170710,0
20170711,0
20170712,2
20170713,0
20170714,0
20170715,1
20170716,1
20170717,0
20170718,0
20170719,0
20170720,0
20170721,0
20170722,1
20170723,1
20170724,0
20170725,0
20170726,0
20170727,0
20170728,0
20170729,1
20170730,1
20170731,0
20170801,0
20170802,0
20170803,0
20170804,0
20170805,1
20170806,1
20170807,0
20170808,0
20170809,0
20170810,0
20170811,0
20170812,1
20170813,1
20170814,0
20170815,0
20170816,0
20170817,0
20170818,0
20170819,1
20170820,1
20170821,0
20170822,0
20170823,0
20170824,0
20170825,0
20170826,1
20170827,1
20170828,2
20170829,0
20170830,0
20170831,0
20170901,0
20170902,1
20170903,1
20170904,0
20170905,0
20170906,0
20170907,0
20170908,0
20170909,1
20170910,1
20170911,0
20170912,0
20170913,0
20170914,0
20170915,0
20170916,1
20170917,1
20170918,0
20170919,0
20170920,0
20170921,0
20170922,0
20170923,1
20170924,1
20170925,0
20170926,0
20170927,0
20170928,0
20170929,0
20170930,0
20171001,1
20171002,0
20171003,0
20171004,0
20171005,1
20171006,1
20171007,1
20171008,1
20171009,0
20171010,0
20171011,0
20171012,0
20171013,0
20171014,1
20171015,1
20171016,0
20171017,0
20171018,0
20171019,0
20171020,0
20171021,1
20171022,1
20171023,0
20171024,0
20171025,0
20171026,0
20171027,0
20171028,1
20171029,1
20171030,0
20171031,2
20171101,2
20171102,0
20171103,0
20171104,1
20171105,2
20171106,0
20171107,0
20171108,0
20171109,0
20171110,0
20171111,1
20171112,1
20171113,0
20171114,0
20171115,0
20171116,0
20171117,0
20171118,1
20171119,1
20171120,0
20171121,0
20171122,0
20171123,0
20171124,0
20171125,1
20171126,1
20171127,0
20171128,0
20171129,0
20171130,2
20171201,0
20171202,1
20171203,1
20171204,0
20171205,0
20171206,0
20171207,0
20171208,0
20171209,1
20171210,1
20171211,0
20171212,0
20171213,0
20171214,0
20171215,0
20171216,1
20171217,1
20171218,0
20171219,0
20171220,0
20171221,0
20171222,0
20171223,1
20171224,2
20171225,2
20171226,2
20171227,0
20171228,0
20171229,0
20171230,1
20171231,1
20180101,2
20180102,0
20180103,0
20180104,0
20180105,0
20180106,1
20180107,1
20180108,0
20180109,0
20180110,0
20180111,0
20180112,0
20180113,1
20180114,1
20180115,0
20180116,0
20180117,0
20180118,0
20180119,0
20180120,1
20180121,1
20180122,0
20180123,0
20180124,0
20180125,0
20180126,0
20180127,1
20180128,1
20180129,0
20180130,0
20180131,0
20180201,0
20180202,0
20180203,1
20180204,1
20180205,0
20180206,0
20180207,0
20180208,0
20180209,0
20180210,1
20180211,0
20180212,0
20180213,1
20180214,2
20180215,1
20180216,0
20180217,1
20180218,1
20180219,0
20180220,0
20180221,1
20180222,0
20180223,0
20180224,0
20180225,1
20180226,0
20180227,0
20180228,0
20180301,0
20180302,0
20180303,1
20180304,1
20180305,0
20180306,0
20180307,0
20180308,0
20180309,0
20180310,1
20180311,1
20180312,0
20180313,0
20180314,0
20180315,0
20180316,0
20180317,1
20180318,1
20180319,0
20180320,0
20180321,0
20180322,0
20180323,0
20180324,1
20180325,1
20180326,0
